alert_id,timestamp,discipline,rule_name,severity,assigned_tier,target_sla,dest_ip,dest_port,is_critical_asset,is_compound_threat,source_module,triage_reason
FUS-VULN-01,2026-09-20T12:00:00Z,Cyber Security,VAPT: Authentication Bypass via SQL Injection,Critical,Tier 2 (L2),15 mins,127.0.0.1,3000,True,False,secure-web-vapt-lab,Critical FMI Asset alert (Cyber Security): Critical severity requires immediate L2 escalation.
FUS-VULN-02,2026-09-20T12:00:00Z,Cyber Security,VAPT: Sensitive Internal API Exposure,High,Tier 2 (L2),30 mins,127.0.0.1,3000,True,False,secure-web-vapt-lab,Critical FMI Asset alert (Cyber Security): High severity requires immediate L2 escalation.
FUS-VULN-03,2026-09-20T12:00:00Z,Cyber Security,VAPT: Overly Permissive CORS Misconfiguration,Medium,Tier 1 (L1),60 mins,127.0.0.1,3000,False,False,secure-web-vapt-lab,Standard baseline triage for cyber security event.
FUS-DAST-ZAP-001,2026-09-20T12:05:00Z,Cyber Security,DAST: Content Security Policy (CSP) Header Not Set,Medium,Tier 1 (L1),60 mins,127.0.0.1,3000,False,False,secure-web-vapt-lab,Standard baseline triage for cyber security event.
FUS-DAST-ZAP-002,2026-09-20T12:05:00Z,Cyber Security,DAST: Cross-Domain Misconfiguration,Medium,Tier 1 (L1),60 mins,127.0.0.1,3000,False,False,secure-web-vapt-lab,Standard baseline triage for cyber security event.
FUS-DAST-ZAP-003,2026-09-20T12:05:00Z,Cyber Security,DAST: Missing Anti-clickjacking Header,Low,Tier 1 (L1),120 mins,127.0.0.1,3000,False,False,secure-web-vapt-lab,Standard baseline triage for cyber security event.
FUS-DAST-ZAP-004,2026-09-20T12:05:00Z,Cyber Security,DAST: Session ID in URL Rewrite,None,Tier 1 (L1),120 mins,127.0.0.1,3000,False,False,secure-web-vapt-lab,Standard baseline triage for cyber security event.
FUS-DAST-ZAP-005,2026-09-20T12:05:00Z,Cyber Security,DAST: Server Leaks Private IP Address,Low,Tier 1 (L1),120 mins,127.0.0.1,3000,False,False,secure-web-vapt-lab,Standard baseline triage for cyber security event.
FUS-DAST-ZAP-006,2026-09-20T12:05:00Z,Cyber Security,DAST: Strict-Transport-Security Header Not Set,Low,Tier 1 (L1),120 mins,127.0.0.1,3000,False,False,secure-web-vapt-lab,Standard baseline triage for cyber security event.
FUS-DAST-ZAP-007,2026-09-20T12:05:00Z,Cyber Security,DAST: Timestamp Disclosure - Unix,None,Tier 1 (L1),120 mins,127.0.0.1,3000,False,False,secure-web-vapt-lab,Standard baseline triage for cyber security event.
FUS-DAST-ZAP-008,2026-09-20T12:05:00Z,Cyber Security,DAST: X-Content-Type-Options Header Missing,Low,Tier 1 (L1),120 mins,127.0.0.1,3000,False,False,secure-web-vapt-lab,Standard baseline triage for cyber security event.
FUS-DAST-ZAP-009,2026-09-20T12:05:00Z,Cyber Security,DAST: Modern Web Application,Informational,Tier 1 (L1),120 mins,127.0.0.1,3000,False,False,secure-web-vapt-lab,Standard baseline triage for cyber security event.
FUS-DAST-ZAP-010,2026-09-20T12:05:00Z,Cyber Security,DAST: Re-examine Cache-control Directives,Informational,Tier 1 (L1),120 mins,127.0.0.1,3000,False,False,secure-web-vapt-lab,Standard baseline triage for cyber security event.
FUS-NET-ANOM-001,2026-09-20T12:15:30Z,Cyber Security,NetFlow Anomaly: Port Scan & Service Sweep,Critical,Tier 2 (L2),15 mins,127.0.0.1,3000,True,True,explainable-netflow-ids,Critical FMI Asset alert (Cyber Security): Critical severity requires immediate L2 escalation.
FUS-NET-ANOM-002,2026-09-20T12:18:45Z,Cyber Security,NetFlow Anomaly: Volumetric SYN Flood / DoS Attempt,Critical,Tier 2 (L2),15 mins,127.0.0.1,3000,True,True,explainable-netflow-ids,Critical FMI Asset alert (Cyber Security): Critical severity requires immediate L2 escalation.
FUS-NET-ANOM-003,2026-09-20T12:22:10Z,Cyber Security,NetFlow Anomaly: High-Entropy DNS Exfiltration Burst,High,Tier 2 (L2),30 mins,198.51.100.53,53,True,False,explainable-netflow-ids,Critical FMI Asset alert (Cyber Security): High severity requires immediate L2 escalation.
FUS-NET-ANOM-004,2026-09-20T12:25:00Z,Cyber Security,NetFlow Anomaly: Periodic C2 Heartbeat Beaconing,Medium,Tier 1 (L1),60 mins,185.220.101.5,8443,False,False,explainable-netflow-ids,Standard baseline triage for cyber security event.
FUS-001,2024-06-01T12:05:15Z,Cyber Security,Successful Brute Force on Trading Gateway,Critical,Tier 2 (L2),15 mins,127.0.0.1,0,True,False,agentic-soc-triage,Critical FMI Asset alert (Cyber Security): Critical severity requires immediate L2 escalation.
FUS-002,2024-06-01T12:14:22Z,Cyber Security,Phishing Link Clicked,High,Tier 2 (L2),30 mins,127.0.0.1,0,False,False,agentic-soc-triage,Cyber Security alert: High severity requires senior analyst investigation.
FUS-003,2024-06-01T12:22:00Z,Cyber Security,Suspicious Process Execution (Ransomware Behavior),Critical,Tier 2 (L2),15 mins,127.0.0.1,0,True,False,agentic-soc-triage,Critical FMI Asset alert (Cyber Security): Critical severity requires immediate L2 escalation.
FUS-004,2024-06-01T12:35:10Z,Financial Crime,Anomalous High-Value Settlement Transaction,High,Tier 2 (L2),30 mins,127.0.0.1,0,True,False,agentic-soc-triage,Critical FMI Asset alert (Financial Crime): High severity requires immediate L2 escalation.
FUS-005,2024-06-01T12:42:05Z,Physical Security,Data Center Badge Access with Active Remote Session,High,Tier 2 (L2),30 mins,127.0.0.1,0,True,False,agentic-soc-triage,Critical FMI Asset alert (Physical Security): High severity requires immediate L2 escalation.
FUS-006,2024-06-01T12:48:30Z,Cyber Security,Anomalous Cloud API Activity,Medium,Tier 2 (L2),60 mins,127.0.0.1,0,True,False,agentic-soc-triage,Escalated: Medium severity Cyber Security event directly impacting critical FMI infrastructure.
FUS-007,2024-06-01T12:55:00Z,Threat Intelligence,Internal Domain Credentials Exposed on Public Paste Site,Medium,Tier 1 (L1),60 mins,127.0.0.1,0,False,False,agentic-soc-triage,Standard baseline triage for threat intelligence event.
FUS-008,2024-06-01T13:01:05Z,Cyber Security,Internal Network Port Scanning,Low,Tier 1 (L1),120 mins,127.0.0.1,0,False,False,agentic-soc-triage,Standard baseline triage for cyber security event.
